scielo_id	seq	instituicao	localidade	pais
S1415-47572006000200017	4	,Universidade Estadual Paulista Faculdade de Ciências e Letras Departamento de Ciências Biológicas	Assis SP	Brazil
S1415-47572006000200018	1	,Universidade de São Paulo Escola Superior de Agricultura Luiz de Queiroz Departamento de Genética	Piracicaba SP	Brasil
S1415-47572006000200019	1	,Instituto Agronômico de Campinas Centro de Grãos e Fibras 	Campinas SP	Brazil
S1415-47572006000200019	2	,Universidade de São Paulo Escola Superior de Agricultura 'Luiz de Queiroz' Departamento de Genética	Piracicaba SP	Brazil
S1415-47572006000200019	3	,Universidade Federal de Goiás Instituto de Ciências Biológicas Departamento de Biologia Geral	Goiânia Go	Brazil
S1415-47572006000200020	1	,Instituto Rio Grandense do Arroz  	Cachoeirinha RS	Brazil
S1415-47572006000200020	2	,Pioneer Sementes  	Passo Fundo RS	Brazil
S1415-47572006000200020	3	,Universidade Federal do Rio Grande do Sul Faculdade de Agronomia Departamento de Plantas de Lavoura	Porto Alegre RS	Brazil
S1415-47572006000200021	1	,Universidade Federal de Viçosa Instituto de Biotecnologia Aplicada à Agropecuária 	Viçosa MG	Brazil
S1415-47572006000200021	2	,Universidade Federal de Viçosa Departamento de Biologia Geral 	Viçosa MG	Brazil
S1415-47572006000200021	3	,Universidade Federal de Viçosa Departamento de Bioquímica e Biologia Molecular 	Viçosa MG	Brazil
S1415-47572006000200021	4	,Universidade Federal de Viçosa Departamento de Fitotecnia 	Viçosa MG	Brazil
S1415-47572006000200021	5	,Cooperativa Central de Pesquisa Agrícola  	Cascavel PR	Brazil
S1415-47572006000200022	1	,Sichuan University College of Life Sciences Key Laboratory of Molecular Biology & Biotechnology	Chengdu 	China
S1415-47572006000200022	2	,Chinese Academy of Sciences Institute of Genetics & Developmental Biology The State Key Laboratory of Plant Cell & Chromosome Engineering	Beijing 	China
S1415-47572006000200022	3	,Sichuan Agricultural University College of Agronomy 	Yaan 	China
S1415-47572006000200023	1	,Fudan University Department of Environmental Science and Engineering 	Shanghai 	China
S1415-47572006000200023	2	,Fudan University School of Life Sciences Key Laboratory for Biodiversity Science and Ecological Engineering	Shanghai 	China
S1415-47572006000200023	3	,Tibet University Department of Biology 	Lhasa Tibet	China
S1415-47572006000200023	4	,Zhongshan University Key Laboratory of Gene Engineering 	Guangzhou 	China
S1415-47572006000200024	1	,Universidade Federal de Lavras Departamento de Biologia 	Lavras MG	Brazil
S1415-47572006000200025	1	,Universidade do Contestado  	Concórdia SC	Brazil
S1415-47572006000200025	2	,Universidade Federal de Lavras Departamento de Biologia 	Lavras MG	Brazil
S1415-47572006000200025	3	,Embrapa Gado de Leite  	Juiz de Fora MG	Brazil
S1415-47572006000200026	1	,Institut National de la Recherche Agronomique Unité dEcologie et de Physiologie du Système Digestif 	Jouy-en-Josas 	France
S1415-47572006000200026	2	,Universidade Federal de Minas Gerais Instituto de Ciências Biológicas Departamento de Biologia Geral	Belo Horizonte MG	Brazil
S1415-47572006000200027	1	,Universidade Federal do Rio Grande do Sul Departamento de Genética Laboratório de Imunogenética	Porto Alegre RS	Brazil
S1415-47572006000200028	1	,Universidade José do Rosário Vellano Faculdade de Farmácia 	Alfenas MG	Brazil
S1415-47572006000200029	1	,Universidade Estadual Paulista Departamento de Biologia 	São José do Rio Preto SP	Brazil
S1415-47572006000200030	1	,Universidade Estadual Paulista Instituto de Biociências Departamento de Parasitologia	Botucatu SP	Brazil
S1415-47572006000200030	2	,Universidade Estadual Paulista Instituto de Biociências Departamento de Microbiologia e Imunonologia	Botucatu SP	Brazil
S1415-47572006000200031	1	,Universidade Federal de Santa Maria Departamento de Clínica de Grandes Animais 	Santa Maria RS	Brazil
S1415-47572006000200033	1	,National University of Kaohsiung Department of Information Management 	 	Taiwan
S1415-47572006000200033	2	,National Taiwan Ocean University 2 Institute of Bioscience and Biotechnology 	Keelung 	Taiwan
S1415-47572006000200033	3	,National Taiwan Ocean University 2 Department of Life Science 	Keelung 	Taiwan
S1415-47572006000300002	1	,Universidade de São Paulo Instituto de Biociências Departamento de Genética e Biologia Evolutiva	São Paulo 	Brazil
S1415-47572006000300002	2	,Universidade de São Paulo Faculdade de Medicina Departamento de Obstetrícia e Ginecologia	São Paulo 	Brazil
S1415-47572006000300003	1	,Universidade Estadual Paulista Serviço de Aconselhamento Genético 	Botucatu SP	Brazil
S1415-47572006000300003	2	,Universidade de São Paulo Instituto de Biociências Departamento de Genética e Biologia Evolutiva	São Paulo SP	Brazil
S1415-47572006000300003	3	,Universidade Estadual Paulista Universidade Estadual Paulista Departamento de Análises Clínicas	Araraquara SP	Brazil
S1415-47572006000300005	1	,Universidade Estadual Paulista  	Botucatu SP	Brazil
S1415-47572006000300005	2	,Universidade de São Paulo Hospital de Reabilitação de Anomalias Craniofaciais 	Bauru SP	Brazil
S1415-47572006000300005	3	,University of Pittsburgh Center for Craniofacial and Dental Genetics 	Pittsburgh PA	USA
S1415-47572006000300006	1	,Genes and Disease Program Center for Genomic Regulation 	Barcelona 	Spain
S1415-47572006000300006	2	,National Center of Medical Genetics  	Havana 	Cuba
S1415-47572006000300007	1	,Instituto de Investigaciones Biológicas Clemente Estable Laboratory of Quantitative Microscopy 	Montevideo 	Uruguay
S1415-47572006000300007	2	,Gershwinstrasse  	Teltow 	Germany
S1415-47572006000300008	1	,Universidade Federal de São Carlos Departamento de Genética e Evolução 	São Carlos SP	Brazil
S1415-47572006000300009	1	,Universidade Federal de São Carlos Departamento de Genética e Evolução 	São Carlos SP	Brazil
S1415-47572006000300010	1	,Universidade Estadual Paulista Departamento de Fonoaudiologia 	Marília SP	Brazil
S1415-47572006000300011	1	,Universidade Estadual de Maringá Departamento de Genética e Biologia Celular 	Maringá PR	Brazil
S1415-47572006000300012	1	,Universidade de São Paulo Instituto de Biociências Departamento de Biologia	São Paulo SP	Brazil
S1415-47572006000300012	2	,Instituto Butantan Laboratório de Genética 	São Paulo SP	Brazil
S1415-47572006000300012	3	,University of California Museum of Vertebrate Zoology 	Berkeley CA	USA
